Bellek Hızı,Bluetooth Özelliği,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Kartı,Ekran Panel Tipi,eMMC Kapasitesi,Harddisk Kapasitesi,HDMI,İşlemci Cache,İşlemci Nesli,İşlemci Tipi,İşlemci,İşletim Sistemi,Kart Okuyucu,Klavye,Maksimum İşlemci Hızı,Max Ekran Çözünürlüğü,Optik Sürücü,Parmak İzi Okuyucu,Ram (Sistem Belleği),Ram Tipi,Renk,SSD Kapasitesi,Ürün Modeli,Webcam,Marka,Fiyat,Link
Belirtilmemiş,Var,1 - 2 kg,Yok,16 inç,Belirtilmemiş,Belirtilmemiş,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,16 MB Cache,12.Nesil,Intel Core i7,12700H,Windows 11 Home,Yok,Q Türkçe,"4,7 GHz",1920 x 1200,Belirtilmemiş,Var,16 GB,DDR4,Gri,512 GB,Notebook,Var,Huawei,20.999,https://www.hepsiburada.com//huawei-matebook-d16-intel-core-i7-12700h-16gb-512gb-ssd-windows-11-home-16-tasinabilir-bilgisayar-pm-HBC00002NKF5N
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Irıs Graphics,TN,Yok,Yok,Var,8 MB L3 Cache,11.Nesil,Intel Core i5,1135G7,Yok (Free Dos),Var,Q Türkçe,"4,2 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Gri,512 GB,Notebook,Var,Lenovo,10.998,https://www.hepsiburada.com//lenovo-ideapad-3-intel-core-i5-1135g7-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82h8020btx-pm-HBC000014ZDCG
Belirtilmemiş,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,11.Nesil,Intel Core i7,1195G7,Windows 11 Home,Yok,Q Türkçe,5 GHz,1920 x 1080,Yok,Yok,16 GB,LPDDR4X,Gri,512 GB,Notebook,Var,Huawei,17.298,https://www.hepsiburada.com//huawei-matebook-d15-intel-core-i7-1195g7-16gb-512gb-ssd-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00003MY12F
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050,IPS,Yok,Yok,Var,12 MB L3 Cache,12.Nesil,Intel Core i5,12450H,Yok (Free Dos),Yok,Aydınlatmalı,"4,4 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Mika Gümüşü,512 GB,Oyun Bilgisayarları,Var,HP,17.998,https://www.hepsiburada.com//hp-victus-gaming-15-fa0011nt-intel-core-i5-12450h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-80d33ea-pm-HBC00004CRJ5P
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",GDDR5,2 GB,Harici Ekran Kartı,Nvidia GeForce MX350,LED,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Yok (Free Dos),Yok,Q Türkçe,"4,2 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Gri,256 GB,Notebook,Var,Acer,9.999,https://www.hepsiburada.com//acer-aspire-3-a315-58g-intel-core-i5-1135g7-8gb-256gb-ssd-mx350-freedos-15-6-tasinabilir-bilgisayar-nx-aduey-003-pm-HBC00003UCH7Q
3200 MHz,Var,2 - 4 kg,Yok,"16,1 inç",GDDR6,4 GB,Harici Ekran Kartı,Nvidia GeForce RTX 3050,IPS,Yok,Yok,Var,16 MB L3 Cache,5.Nesil,AMD Ryzen 5,5600H,Yok (Free Dos),Var,Q Türkçe,"4,2 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Mavi,512 GB,Notebook,Var,HP,17.499,https://adservice.hepsiburada.com/event/api/v1/track?event=QUlBT2xhYmhSTk1ZWFU3N1kvYWozMjVpTjl2TnVXUlFOcTQzb1ZnNGFzM2lySUpRbDQrUTBnMjZjRnJTMEwzM0ZvUGxmclNFK0wxVEVOL1dGTXcyRmFtcjZNS2VnVzhpaklVcjJzc2ZQOTZLZ1VOTE85RC8zR1p2a0RDVzBUMnM0RkhqR1orRVd6V0VFWTBxeWw4WG5vSjl2QTZBYnA5OFl2NXN5VWxYTDJqbFNMYWwrZ0hMZDZVV2dsTk1yNHpsb3p0RnFiVnlBVnVXSmszbzM2Wk0zVW1MZFNGSVVTQ2FXVEU1Z1JPQnlSMlBQV01SUFk0eHNkYm5pOW1tTSs5SlRvL0gxQWVDT3UxZExoM09TQWNuOEoxTTEvSmZMam90aTVRZ3hrRUxVTTBIVm8zMGJrRWtueFJZTmxndFplMUVrY1kxc1RXZFlJVzNGcG54VHZ6b3dzSURpQUg4S0ExcW03STM2aFFVQmxvRVpBTkNWQk9YeE8vVm1MWlNKMTNUUlVOYzRhcko5T1plaUsvbzNaalpHQktia3BsaG1qOWhnRnhCRmowcGVBR0REV0VycCsxeUhqcHV4RXpSZVdtUUVBNzlyamhIdURQeWM0RHVEaHFQY3Z1eVE4bVRFelNSMnF2SXp4b2dTODVlSy8wbGhmUGs0NFQ5Q3Jnb0poU0JOclF5U3Z5azdia091eC85SkxaVFFOcTNBMElITWFiOWJvQQ==&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fhp-victus-16-e0006nt-amd-ryzen-5-5600h-8gb-ram-512gb-ssd-rtx3050-16-1-fhd-freedos-tasinabilir-bilgisayar-4h0r9ea-p-HBCV00001VQ617%3Fmagaza%3DTeknorya&eventName=sp-click&platform=desktop
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel UHD Graphics,IPS,Yok,Yok,Var,6 MB Cache,11.Nesil,Intel Core i3,1115G4,Yok (Free Dos),Yok,Q Türkçe,"4,1 GHz",1920 x 1080,Yok,Yok,4 GB,DDR4,Gümüş,128 GB,Notebook,Var,Asus,6.998,https://www.hepsiburada.com//asus-x515ea-bq967-intel-core-i3-1115g4-4gb-128gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00002YYB2G
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050,IPS,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,11320H,Yok (Free Dos),Yok,Aydınlatmalı,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,512 GB,Oyun Bilgisayarları,Var,Lenovo,17.999,https://www.hepsiburada.com//lenovo-ideapad-gaming-3-intel-core-i5-11320h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-tasinabilir-bilgisayar-82k101hytx-pm-HBC000040CDTS
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,TN,Yok,Yok,Var,6 MB Cache,11.Nesil,Intel Core i3,1115G4,Yok (Free Dos),Var,Q Türkçe,"4,1 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Siyah,512 GB,Notebook,Var,Lenovo,8.499,https://www.hepsiburada.com//lenovo-ideapad-3-intel-core-i3-1115g4-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82h803g2tx-pm-HBC000040CF51
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,TN,Yok,Yok,Var,12 MB Cache,11.Nesil,Intel Core i7,1165G7,Yok (Free Dos),Yok,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,512 GB,Notebook,Var,Lenovo,15.799,https://www.hepsiburada.com//lenovo-v15-intel-core-intel-core-i7-1165g7-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82kb00cdtx-pm-HBC00002DB00V
