Bellek Hızı,Bluetooth Özelliği,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Kartı,Ekran Panel Tipi,eMMC Kapasitesi,Harddisk Kapasitesi,HDMI,İşlemci Cache,İşlemci Nesli,İşlemci Tipi,İşlemci,İşletim Sistemi,Kart Okuyucu,Klavye,Maksimum İşlemci Hızı,Max Ekran Çözünürlüğü,Optik Sürücü,Parmak İzi Okuyucu,Ram (Sistem Belleği),Ram Tipi,Renk,SSD Kapasitesi,Ürün Modeli,Webcam,Marka,Fiyat,Link
3200 MHz,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Irıs Graphics,IPS,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Yok (Free Dos),Yok,Q Türkçe,"4,2 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Gri,512 GB,Notebook,Var,Asus,12.999,https://www.hepsiburada.com//asus-x415ea-eb573-intel-core-i5-1135g7-8gb-512gb-ssd-freedos-14-ips-fhd-tasinabilir-bilgisayar-pm-HBC00001TMC4T
3200 MHz,Var,1 - 2 kg,Yok,"14,1 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i7,1255U,Yok (Free Dos),Var,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Var,8 GB,DDR4,Siyah,500 GB,Notebook,Var,Monster,16.499,https://adservice.hepsiburada.com/event/api/v1/track?event=WnJCY25oWFhVTEw5Q3BtdDBlTnE3NUR1bVpGNXduMVJwV09Hb0gvOTFOT01ZSWl5TkoxcGJQQ3REM3BHN2JRRFZtOUlYNFlzNjRQOGt0RDNoalg1VlgrZHZPVTYvQTd0NUZNWGJSaHNRV0F1b1VLbG4rbW5SMWRSb291Rm15dVd2YnVTRVlBNVNhWjAwS0I4U1B0OVBLMzRnbUZqd1pUSzBmUnFnY3lOT1dxVmZwbS9BSGVLM2ExS0hzbUpUdXQ3dTVNL2Y3Sy82dkVMMDVSRlZxUEZicWdaQzUxTWM5WHdaMFJ3SU5PSWl3SGFNbFYyNVZJSlNYSDQra3VUVHRGUUJrNHNHQjNNTEwrc1Vwa0NzZFN1dVRDclV0T1JYOXE2UDFoOHliUWJzRmxKNGZDMUJEYlYxNCtwZkQ2OFc4YUxpWVpRL1BCT0JodzByaUY1ODJxVGJHUmtrbUw0cjI2elplNGZ2WlI4UFdxNHF1cGo0TWpHVGZJcGFnRUhrdy91Q2dvUkhsVWFLV1lTRHMzWU5GK0E4d0xuNE1tYytjb01pVjRPRENIcGtjZTZlNXUzQmhLR092OVU0MTVadCtiRjJWTUoweXdaMVNyRC9RN2NMRWdIRGNadzM4cEtCMXdKUUNlbmFFZ3RoZ1lMMHl0dFora0JVUlVXa29LZUVGMnJzendoTlgrdmFLOUtCMFNM&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fmonster-huma-h4-v5-2-3-black-intel-core-i7-1255u-8-gb-ram-500-gb-ssd-freedos-14-1-fhd-tasinabilir-bilgisayar-p-HBCV00004EGR58%3Fmagaza%3DMonster+Notebook&eventName=sp-click&platform=desktop
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050,IPS,Yok,Yok,Var,18 MB Cache,12.Nesil,Intel Core i5,12500H,Yok (Free Dos),Var,Q İngilizce,"4,5 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,512 GB,Oyun Bilgisayarları,Var,Gigabyte,17.989,https://www.hepsiburada.com//gigabyte-g5-gd-51ee213sd-intel-core-i5-12500h-16gb-512gb-ssd-rtx3050-4gb-15-6-fhd-144hz-freedos-gaming-notebook-pm-HBC00003LKERD
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050,IPS,Yok,Yok,Var,24 MB Cache,12.Nesil,Intel Core i7,12650H,Yok (Free Dos),Var,RGB,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,500 GB,Oyun Bilgisayarları,Var,Casper,23.499,https://www.hepsiburada.com//casper-excalibur-g770-1265-bvj0x-b-intel-core-i7-12650h-16gb-ram-500gb-ssd-4gb-rtx3050-freedos-tasinabilir-bilgisayar-pm-HBC00002R2PMU
3200 MHz,Yok,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel UHD Graphics,LED,Yok,Yok,Var,6 MB Cache,10.Nesil,Intel Core i5,1035G1,Yok (Free Dos),Yok,Q Türkçe,"3,6 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Siyah,512 GB,Notebook,Var,Acer,9.699,https://www.hepsiburada.com//acer-extensa-15-ex215-52-531x-intel-core-i5-1035g1-8gb-512gb-ssd-15-6-inc-full-hd-freedos-tasinabilir-bilgisayar-nx-eg8ey-002-pm-HBC00003ES7KE
3200 MHz,Var,1 - 2 kg,Belirtilmemiş,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Windows 11 Pro,Var,Q Türkçe,"2,1 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,"Koyu Gri, Siyah",512 GB,Notebook,Var,Lenovo,15.000,https://www.hepsiburada.com//lenovo-v15-gen2-intel-core-i5-1135g7-16-gb-512-gb-ssd-intel-iris-x-windows-11-pro-15-6-fhd-tasinabilir-bilgisayar-82kb00catx18-pm-HBC00002VOD0S
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel UHD Graphics,IPS,256 GB,Yok,Var,6 MB Cache,11.Nesil,Intel Core i3,1115G4,Windows 11 Home,Yok,Q Türkçe,"4,1 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,"Gri, Gri",256 GB,Notebook,Var,Lenovo,8.999,https://www.hepsiburada.com//lenovo-ideapad-3-82h802rktx-intel-core-i3-1115g4-8gb-256-gb-ssd-15-6-ips-fhd-windows-11-home-gri-dizustu-bilgisayar-pm-HBC000038LUSD
4800 MHz,Var,2 - 4 kg,Yok,"17,3 inç",GDDR6,8 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 4060,IPS,Yok,Yok,Var,24 MB Cache,12.Nesil,Intel Core i7,12700H,Yok (Free Dos),Belirtilmemiş,RGB,"4,7 GHz",2560 x 1440,Yok,Yok,32 GB,DDR5,Siyah,512 GB,Oyun Bilgisayarları,Var,Acer,40.999,https://www.hepsiburada.com//acer-nitro-5-an517-55-intel-core-i7-12700h-32-gb-512-gb-ssd-rtx-4060-freedos-17-3-165-hz-qhd-tasinabilir-bilgisayar-nh-qlfey-001-32-pm-HBC00004GJYLM
3200 MHz,Var,2 kg ve Altı,Yok,16 inç,GDDR6,6 GB,Harici Ekran Kartı,Nvidia GeForce RTX 4050,IPS,Yok,Yok,Var,24 MB Cache,12.Nesil,Intel Core i7,12700H,Yok (Free Dos),MicroSD Card Reader,Q Türkçe,"4,7 GHz",1920 x 1200,Yok,Yok,16 GB,DDR4,Gri,512 GB,Oyun Bilgisayarları,Var,Asus,43.848,https://www.hepsiburada.com//asus-rog-zephyrus-g16-gu603zu-n3015-intel-core-i7-12700h-16gb-512gb-ssd-rtx4050-freedos-16-wuxga-165hz-tasinabilir-bilgisayar-pm-HBC00003XD661
5500 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Onboard,TN,Yok,Yok,Var,6 MB Cache,7.Nesil,AMD Ryzen 3,7320U,Yok (Free Dos),Var,Q Türkçe,"4,1 GHz",1366 x 768,Yok,Yok,8 GB,DDR5,Gri,256 GB,Notebook,Var,Lenovo,8.799,https://www.hepsiburada.com//lenovo-ideapad-1-amd-ryzen-3-7320u-8gb-256gb-ssd-freedos-15-6-hd-tasinabilir-bilgisayar-82vg0088tx-pm-HBC00003ZJ5M3
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Windows 11 Home,Yok,Q Türkçe,"4,2 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Gümüş,256 GB,Notebook,Var,Acer,11.199,https://www.hepsiburada.com//acer-aspire-3-a315-58-intel-core-i5-1135g7-8gb-256gb-ssd-windows-11-home-15-6-tasinabilir-bilgisayar-nx-addey-003-pm-HBC00002HMSWW
Belirtilmemiş,Var,1 - 2 kg,Var,16 inç,Belirtilmemiş,Belirtilmemiş,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,16 MB Cache,12.Nesil,Intel Core i9,12900H,Windows 11 Home,Yok,Q Türkçe,5 GHz,2520 x 1680,Belirtilmemiş,Var,16 GB,LPDDR5,Gri,1 TB,Notebook,Var,Huawei,38.499,https://www.hepsiburada.com//huawei-matebook-16s-intel-core-i9-12900h-16gb-1tb-ssd-windows-11-home-16-tasinabilir-bilgisayar-pm-HBC00002NKF5T
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Harici Ekran Kartı,Nvidia GeForce RTX 3050 Ti,IPS,Yok,Yok,Var,24 MB Cache,11.Nesil,Intel Core i7,11800H,Yok (Free Dos),Var,Numerik Tuşlu Aydınlatmalı,"4,6 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Siyah,500 GB,Oyun Bilgisayarları,Var,Monster,20.999,https://www.hepsiburada.com//monster-abra-a5-v17-3-intel-core-i7-11800h-8gb-500gb-ssd-rtx-3050ti-freedos-15-6-fhd-144-hz-tasinabilir-bilgisayar-pm-HBC00000ANG4O
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050,IPS,Yok,Yok,Var,24 MB,12.Nesil,Intel Core i7,12700H,Yok (Free Dos),Yok,RGB,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Gri,512 GB,Oyun Bilgisayarları,Var,Asus,25.599,https://www.hepsiburada.com//asus-tuf-gaming-f15-fx507zc4-hn011-intel-core-i7-12700h-16-gb-512-gb-ssd-rtx-3050-144-hz-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00003VLDFJ
2400 MHz,Var,1 - 2 kg,Yok,"14,1 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel UHD Graphics 600,IPS,Yok,Yok,Var,4 MB Cache,4.Nesil,Intel Celeron,N4020,Yok (Free Dos),Var,Q Türkçe,"1,1 GHz",1366 x 768,Yok,Belirtilmemiş,8 GB,DDR4,Gri,256 GB,Notebook,Var,Hometech,4.999,https://www.hepsiburada.com//hometech-alfa-640c-intel-celeron-n4020c-8-gb-256-gb-ssd-freedos-14-1-hd-tasinabilir-bilgisayar-pm-HBC0000394WFT
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,TN,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1155G7,Yok (Free Dos),Var,Q Türkçe,"4,5 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Gri,512 GB,Notebook,Var,Lenovo,13.169,https://www.hepsiburada.com//lenovo-ideapad-3-intel-core-i5-1155g7-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82h8034etxa115-pm-HBC00003ZKV1G
4800 MHz,Var,2 - 4 kg,Yok,16 inç,GDDR6,6 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3060,IPS,Yok,Yok,Var,24 MB Cache,12.Nesil,Intel Core i7,12700H,Yok (Free Dos),Yok,RGB,"4,7 GHz",2560 x 1600,Yok,Yok,16 GB,DDR5,Gri,1 TB,Oyun Bilgisayarları,Var,Lenovo,42.999,https://www.hepsiburada.com//lenovo-legion-5-pro-intel-core-i7-12700h-16gb-1tb-ssd-rtx3060-freedos-16-wqxga-tasinabilir-bilgisayar-82rf00j3tx-pm-HBC000040CF4E
Belirtilmemiş,Var,1 - 2 kg,Yok,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,LED,Yok,Yok,Var,4 MB Cache,10. Nesil,Intel Core i3,1005G1,Yok (Free Dos),Belirtilmemiş,Q Türkçe,"3,4 GHz",1920 x 1080,Belirtilmemiş,Yok,8 GB,DDR4,Siyah,256 GB,Notebook,Var,Acer,8.399,https://www.hepsiburada.com//acer-aspire-3-a315-56-327t-intel-core-i3-1005g1-8gb-256gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-nx-hs5ey-006-pm-HBC00001RXCM9
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",GDDR6,4 GB,Harici Ekran Kartı,Nvidia GeForce RTX 3050,OLED,Yok,Yok,Var,20 MB Cache,Ryzen,AMD Ryzen 9,5900HX,Yok (Free Dos),MicroSD  Card Reader,Aydınlatmalı,"4,6 GHz",1920 x 1080,Yok,Var,16 GB,DDR4,Gümüş,1 TB,Notebook,Var,Asus,31.999,https://www.hepsiburada.com//asus-vivobook-pro-m3500qc-l1360-oled-15-amd-ryzen-9-5900hx-16gb-1tb-ssd-rtx3050-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC000039FHK8
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,AMD Radeon Graphics,IPS,Yok,Yok,Var,8 MB L3 Cache,Ryzen,AMD Ryzen 7,5700U,Yok (Free Dos),Var,Q Türkçe,"4,3 GHz",1920 x 1080,Yok,Var,8 GB,DDR4,Gri,512 GB,Notebook,Var,Lenovo,13.499,https://www.hepsiburada.com//lenovo-thinkbook-15-g3-acl-amd-ryzen-7-5700u-8-gb-512-gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-21a40037tx-pm-HBC00001FQHVF
3200 MHz,Var,1 - 2 kg,Yok,"14,1 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i7,1255U,Windows 11 Pro,Var,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Var,16 GB,DDR4,Siyah,500 GB,Notebook,Var,Monster,20.499,https://adservice.hepsiburada.com/event/api/v1/track?event=Qks0ZUpDbnpXbU9IVGUxTm11NEVETkJyTjlCdGErOUJZd045cFJTc2VNL1pqdi95QXBVZmZaRGR2SkxwQktpSWM2ZDZQU3ZLMmJSZUZHK2tkUGd5cDJQUVBPd2g1NzZRQWd5SHBFT2szSWVmWGd4K2pxVjhuNHBpZkIxakt5dHFqVzR5WTduUmVDUi9Wc2lad3U5K1B2NVNVN2FCb2J3em5RdFBBQUJUalZjSE00R0swRzlBSnAzRkhOZTBrSWI0cHIyS0xFSFJKRWtxL0JVR2dmcEhITDEreHhsaHlCR0x2aDhHcW11eTU0ZldjTXpYcFdCUE9ZKzJ1RlNVV3ZiNnRwdnFiWEJxS09Lekk0ZTZxZzVMeUFTWE9rWm5JbkdSZU9ycVNYV1ppdG04Lzk1Wm4ycTREbjVVSUpCM0FTaXVoM2tvRzdFemVIVUc5RVdNQlU3cW5OYnhmUU1QdkY1Ti94U2pYclZKbVR4K0F4TWhtRC81R3ZXY21LUXF4R3lsdUk0V1JkejVxVk5QT2poRWp5VktDOEtvajJkVkxhczJPZUphbzNyNVFyN2dGMzIvWnlLMERxTDl0d25ISktWY2xKaGxyVFdXQzh1ZUU4OGgySlNiS2hCOUJSUUwwc3NQNlJHN0swRkxnelh6MkVIQ2kydVV3ZkN3T0plL0g3azlPbk1SN2xRUHA3M3FVbGp4WlE=&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fmonster-huma-h4-v5-2-13-black-intel-core-i7-1255u-16-gb-ram-500-gb-ssd-windows-11-pro-14-1-fhd-tasinabilir-bilgisayar-p-HBCV00004EGR2I%3Fmagaza%3DMonster+Notebook&eventName=sp-click&platform=desktop
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050,IPS,Yok,Yok,Var,24 MB,12.Nesil,Intel Core i7,12700H,Yok (Free Dos),Yok,RGB,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Gri,512 GB,Oyun Bilgisayarları,Var,Asus,25.599,https://www.hepsiburada.com//asus-tuf-gaming-f15-fx507zc4-hn011-intel-core-i7-12700h-16-gb-512-gb-ssd-rtx-3050-144-hz-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00003VLDFJ
4800 MHz,Var,2 - 4 kg,Yok,16 inç,GDDR6,6 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3060,IPS,Yok,Yok,Var,24 MB Cache,12.Nesil,Intel Core i7,12700H,Yok (Free Dos),Yok,RGB,"4,7 GHz",2560 x 1600,Yok,Yok,16 GB,DDR5,Gri,1 TB,Oyun Bilgisayarları,Var,Lenovo,42.999,https://www.hepsiburada.com//lenovo-legion-5-pro-intel-core-i7-12700h-16gb-1tb-ssd-rtx3060-freedos-16-wqxga-tasinabilir-bilgisayar-82rf00j3tx-pm-HBC000040CF4E
3200 MHz,Var,1 - 2 kg,Yok,"14,1 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i7,1255U,Windows 11 Pro,Var,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Var,32 GB,DDR4,Siyah,1 TB,Notebook,Var,Monster,24.099,https://adservice.hepsiburada.com/event/api/v1/track?event=RVp1RUhqUllUSXRHODhFZmNQazBwbEgwa3YwN0lpNm8xcFlnUDBUYWRPQncwclZ1N2doVENTc0NhNGVtaUFJeVdFalFtbU9PRVpwSmYzZnlOdUdIZ1FNb0xVNGluWE1aclpEeWFOZjZ4TERvTjJpYjFPZ283WjFhcGozdUwyZkg2eWFmS0UzYjJ4TG1oQTNTdWtSejhXbENUWEJnQjA5QkMyajJscE81YVkwT0dUWVc1WkNyYzZWYWoyUGNDOUJSQWsvcTNtNUtZQkhyVjdsZ0dCQXBmazhuaGx6VnU2N0J5V09qN2FYd21adFlMbkpwaGgyQ2VPaWRCcys5dkN2VXhDUVFzMy9CeDMxUjFCak1qc0ZEQ09sNTlVWndqc21wdzhIVVhtVWpxQlNYOTJlSUU0M0xES01OdzJ5d1RscWxSVFVyOGhwdFJzRjBXMWI4TE9oT2RSR0l0RC8vbEk5U2cvaHkwbXdoampma0RHS1RrMWVsYWk2VnFPOHJ5QlZVTUVIT3NvbDZOOU83bjZjRnFpTVNkU0pjTlQ3VExrVmtjdGUwOXYwL3hZeGxMU1Z1TFhhNys1V25aZkVYcm1ZaG4xM2JwQVpXR3E3aDJXRVNBbGFJall0aXJSUWdUdkJzTzNoOWEvR2M0cnk0ZkMxTTZ6dFdnelg5V2ZKemlnNFAwT0dmUUdiU2c3cWt2RUtadGc=&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fmonster-huma-h4-v5-2-14-black-intel-core-i7-1255u-32-gb-ram-1-tb-ssd-windows-11-pro-14-1-fhd-tasinabilir-bilgisayar-p-HBCV00004EGR2K%3Fmagaza%3DMonster+Notebook&eventName=sp-click&platform=desktop
Belirtilmemiş,Var,1 - 2 kg,Yok,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,LED,Yok,Yok,Var,4 MB Cache,10. Nesil,Intel Core i3,1005G1,Yok (Free Dos),Belirtilmemiş,Q Türkçe,"3,4 GHz",1920 x 1080,Belirtilmemiş,Yok,8 GB,DDR4,Siyah,256 GB,Notebook,Var,Acer,8.399,https://www.hepsiburada.com//acer-aspire-3-a315-56-327t-intel-core-i3-1005g1-8gb-256gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-nx-hs5ey-006-pm-HBC00001RXCM9
2400 MHz,Var,1 - 2 kg,Yok,"14,1 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel UHD Graphics 600,IPS,Yok,Yok,Var,4 MB Cache,4.Nesil,Intel Celeron,N4020,Yok (Free Dos),Var,Q Türkçe,"1,1 GHz",1366 x 768,Yok,Belirtilmemiş,8 GB,DDR4,Gri,256 GB,Notebook,Var,Hometech,4.999,https://www.hepsiburada.com//hometech-alfa-640c-intel-celeron-n4020c-8-gb-256-gb-ssd-freedos-14-1-hd-tasinabilir-bilgisayar-pm-HBC0000394WFT
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,TN,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1155G7,Yok (Free Dos),Var,Q Türkçe,"4,5 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Gri,512 GB,Notebook,Var,Lenovo,13.169,https://www.hepsiburada.com//lenovo-ideapad-3-intel-core-i5-1155g7-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82h8034etxa115-pm-HBC00003ZKV1G
3200 MHz,Var,1 - 2 kg,Yok,"14,1 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i7,1255U,Yok (Free Dos),Var,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Var,32 GB,DDR4,Siyah,1 TB,Notebook,Var,Monster,20.599,https://adservice.hepsiburada.com/event/api/v1/track?event=alRiNXk0Y2JQcDNHOHkyZHlOK3llSUNmcDRIV1g4bXNQUURnMm5qRmVza2t4QU9RQkkwV0ZSMDZsd2NuemFkL2c4b1pMUFNrUUJJQnFqK0JMa3VmL0VxcExsOW43M0VMMXV0dG5PUnFDZlZWVGZaVzRFdWowSGxLOEtiZ0thMjJhOXlsVTIyZ1BPNCt2dDE1Z2tJcm8rQ3J3MGhyUVpiMmxRZzF4M0NXZ1ZDM1BiMWVqbnlUMmJUbmV0KzVMeDhKamsyb2o2akNSYk1Oak5ZRFBIR3ZObktDQlVTUGdSd1hiaW9uNmlTanBPVGt6cHRMSGYybzloeTdYUXhZc2Jubm5raVJ2NWUwTFZqQXNaVHd2M0RZeWx0OThiWlpNL2hsZjE4SVhKZFoyVVk0MnZUS21HdERKUUlrdlV4S1ZiRWNZL25mSlJWUU9JVlREamRKU3BsQWhaaEd0cDNINi9KdkFXV0pZTXc0MzgySWtMaStvUTgzRWJpQ2J3YzUvaHBLeURpdytmS0V2VjNyQVl0MnN5cTlVZHFyR2NnNDIyUDdvczExVHpwcmQ2MjJ0U3ZPNW82dWFwQVMxZ2pjNVRPUVZ0cjhaVXdOVHpIQjZDdE9HOW5tMHI0ZWsxVU5mclpTclczWkpsRnpQd0ZFNHpZbE0yVjBGczR0OGp2b1RMbUF2TERNV201NG90NWc1ek5lUmc=&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fmonster-huma-h4-v5-2-10-black-intel-core-i7-1255u-32-gb-ram-1-tb-ssd-freedos-14-1-fhd-tasinabilir-bilgisayar-p-HBCV00004EGQNI%3Fmagaza%3DMonster+Notebook&eventName=sp-click&platform=desktop
3200 MHz,Var,1 - 2 kg,Yok,"14,1 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i7,1255U,Yok (Free Dos),Var,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Var,16 GB,DDR4,Siyah,500 GB,Notebook,Var,Monster,16.999,https://adservice.hepsiburada.com/event/api/v1/track?event=SitsU1c3Y1ZkT1RlUVlObU9NTnBkaGxWV0xUb2tZdzZialJVWTVNZEZWUnY0eWlScWpHVHNPN2FpYnYwbFZOTlVJVExQVURUYmdxZnNGRjhyL3dvRUtOdmFQaVJtNjRwTFR6SUt4UmJFZitQNTBiTVlWWk1sN3hyZ2crT1U4VU0zcHlGUU95VElCUnB0SitvV1BBazV0Y1c3cFl6KzZEK2dDeGNBUU9ZSmFrTnltU1pkQUNseThhcmtYZGNsZmFUbmR2cWhrTUdsQnBiYnF1SE5FTmIrUTcrSCtsZk9QYzVRTGxycHdVOWpIYy91UDF0WEoyaFpIZjAvc29wZXZJcDZNNVFzbzRudTd0SW9qM3czTkhXc245KzF3dkdvSXZOMDc4UG5XMk41RUFlcWlyRHZmblhiNnJJYzEvT0MveDY5TE5nTWNVc3F1R0oxaXZ1NUdQVzRpeDNVcXRLbWlZSFlsbGRtS0t3c2lzR3kvWXVyc1JrN0oxZGEvWmovVkE2eEIrak1tNGZ2eXNXTk1TS2t4MUxHSTdiMXFveWdnOVppNnFyMnFEa3NMTHBQT0IrRkplbTJ6NlB4QjV3NWxYcDJScEx3dXR2aHdSZTM2RVIxWXltSFZLT0dPRXlsQWlXUTR4dlJ3aThwazZ4Z3JrdlZTYjZJdCttMkdwNjV6WWRRTVVSMi8yU0w3czZPTjJOV0E=&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fmonster-huma-h4-v5-2-black-intel-core-i7-1255u-16-gb-ram-500-gb-ssd-freedos-14-1-fhd-tasinabilir-bilgisayar-p-HBCV00004EGQIC%3Fmagaza%3DMonster+Notebook&eventName=sp-click&platform=desktop
2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,AMD Radeon Graphics,TN,Yok,Yok,Var,11 MB Cache,Ryzen,AMD Ryzen 5,4600H,Yok (Free Dos),Yok,Q Türkçe,"4,0 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Gümüş,512 GB,Notebook,Var,Asus,11.499,https://www.hepsiburada.com//asus-vivobook-15-amd-ryzen-5-4600h-16gb-512gb-ssd-15-6-fhd-freedos-tasinabilir-dizustu-bilgisayar-m1502ia-ej13307-pm-HBC000036JPGA
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050 Ti,IPS,Yok,Yok,Var,24 MB Cache,11.Nesil,Intel Core i7,11800H,Yok (Free Dos),Yok,Q Türkçe,"4,6 GHz",1920 x 1080,Yok,Yok,32 GB,DDR4,Siyah,500 GB,Oyun Bilgisayarları,Var,Monster,24.199,https://www.hepsiburada.com//monster-abra-a5-v17-3-9-intel-core-i7-11800h-32gb-ram-500gb-ssd-rtx-3050-ti-freedos-15-6-inc-fhd-144-hz-oyun-bilgisayari-pm-HBC0000409TBW
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050 Ti,IPS,Yok,Yok,Var,18 MB Cache,12.Nesil,Intel Core i5,12500H,Yok (Free Dos),Yok,Q Türkçe,"4,5 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,1 TB,Oyun Bilgisayarları,Var,Monster,23.999,https://www.hepsiburada.com//monster-abra-a5-v19-2-6-intel-core-i5-12500h-16gb-ram-1tb-ssd-4gb-rtx3050ti-freedos-15-6-fhd-144hz-oyun-bilgisayari-pm-HBC00002RJF1K
